group,site,type,phase,date,End Date,Qp,Q,Precipitation (in),NO3-N,TKN,TP,TSS,OP
MO_EoF,MO1171601,Ct,Bl,5/8/2018,5/9/2018,0.098,0.011,0.829,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,6/11/2018,6/12/2018,0.23,0.047,1.642,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,8/29/2018,8/29/2018,1.271,0.294,2.309,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,8/31/2018,9/1/2018,0.117,0.021,0.786,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,9/5/2018,9/6/2018,2.369,0.113,1.139,0,0.09,0.02,8.47,0
MO_EoF,MO1171601,Ct,Bl,9/7/2018,9/9/2018,2.369,1.603,1.304,0.12,0.82,0.21,68.86,0
MO_EoF,MO1171601,Ct,Bl,10/6/2018,10/8/2018,2.234,9.652,6.116,6.51,3.94,1.29,344.92,0
MO_EoF,MO1171601,Ct,Bl,10/9/2018,10/10/2018,1.706,0.344,0.414,0.34,0.25,0.05,18.61,0
MO_EoF,MO1171601,Ct,Bl,10/14/2018,10/15/2018,0.342,0.076,0.398,0.12,0.04,0.01,2.71,0
MO_EoF,MO1171601,Ct,Bl,12/1/2018,12/2/2018,1.77,1.037,1.255,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,12/27/2018,12/27/2018,0.608,0.13,0.7,0.33,0.06,0.02,8.97,0
MO_EoF,MO1171601,Ct,Bl,12/31/2018,1/1/2019,1.766,1.539,1.164,0.59,1.46,0.28,158.74,0
MO_EoF,MO1171601,Ct,Bl,2/3/2019,2/4/2019,1.715,1.683,0.027,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,2/11/2019,2/12/2019,1.606,0.66,0.288,0.4,0.22,0.06,3.58,0
MO_EoF,MO1171601,Ct,Bl,2/12/2019,2/12/2019,0.491,0.114,0.026,0.07,0.04,0.01,0.62,0
MO_EoF,MO1171601,Ct,Bl,2/13/2019,2/13/2019,1.653,0.208,0.013,0.13,0.07,0.02,1.13,0
MO_EoF,MO1171601,Ct,Bl,2/14/2019,2/16/2019,1.653,0.945,0.02,0.64,0.31,0.08,10.46,0
MO_EoF,MO1171601,Ct,Bl,2/23/2019,2/26/2019,1.63,2.191,0.742,0.62,1.56,0.26,140.85,0
MO_EoF,MO1171601,Ct,Bl,3/9/2019,3/10/2019,1.855,1.251,1.272,0.94,1.39,0.18,91.34,0
MO_EoF,MO1171601,Ct,Bl,3/28/2019,3/31/2019,1.133,1.077,2.788,1.18,1.37,0.16,84.32,0
MO_EoF,MO1171601,Ct,Bl,4/30/2019,5/4/2019,1.165,2.376,4,2.72,2.96,1.48,244.06,0
MO_EoF,MO1171601,Ct,Bl,5/6/2019,5/10/2019,0.996,0.908,2.459,0.93,0.94,0.4,75.17,0.26
MO_EoF,MO1171601,Ct,Bl,5/14/2019,5/15/2019,0.543,0.086,0.743,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,5/18/2019,5/22/2019,1.52,4.806,6.967,0.38,3.42,1.34,378.05,0.91
MO_EoF,MO1171601,Ct,Bl,5/22/2019,5/23/2019,1.017,0.048,0.246,0.01,0.05,0.02,4.36,0.01
MO_EoF,MO1171601,Ct,Bl,5/24/2019,5/25/2019,1.017,0.915,1.882,0.11,0.95,0.37,83.39,0.25
MO_EoF,MO1171601,Ct,Bl,5/26/2019,5/26/2019,1,0.277,0.646,0.02,0.44,0.13,77.64,0.07
MO_EoF,MO1171601,Ct,Bl,5/28/2019,5/30/2019,1.717,0.031,3.237,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,6/19/2019,6/20/2019,1.029,0.029,0.88,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,6/21/2019,6/22/2019,1.502,0.642,1.881,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,6/22/2019,6/25/2019,1.502,3.05,2.442,9.51,0.16,0.16,9.67,0.16
MO_EoF,MO1171601,Ct,Bl,7/20/2019,7/21/2019,1.026,0.305,3.029,0.14,0.37,0.1,48.22,0.07
MO_EoF,MO1171601,Ct,Bl,7/29/2019,7/29/2019,1.27,0.496,1.887,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,8/11/2019,8/11/2019,1.282,0.355,1.469,0.06,0.14,0.05,28.22,0.02
MO_EoF,MO1171601,Ct,Bl,8/12/2019,8/12/2019,1.282,0.396,0.85,0.02,0.1,0.05,13.55,0.03
MO_EoF,MO1171601,Ct,Bl,8/25/2019,8/27/2019,0.315,0.058,1.03,0.04,0.02,0.01,2.92,0.01
MO_EoF,MO1171601,Ct,Bl,8/29/2019,8/30/2019,0.853,0.073,1.175,0.04,0.03,0.01,3.66,0.01
MO_EoF,MO1171601,Ct,Bl,9/8/2019,9/8/2019,0.233,0.06,1.207,0.04,0.02,0.01,3.02,0.01
MO_EoF,MO1171601,Ct,Bl,9/22/2019,9/22/2019,1.466,1.38,3.073,0.08,0.31,0.1,31.03,0.11
MO_EoF,MO1171601,Ct,Bl,9/28/2019,9/29/2019,1.56,1.839,3.02,0.1,0.77,0.17,73.64,0.12
MO_EoF,MO1171601,Ct,Bl,9/29/2019,9/29/2019,1.316,0.58,0.516,0.03,0.3,0.08,22.96,0.04
MO_EoF,MO1171601,Ct,Bl,10/2/2019,10/3/2019,1.441,2.124,1.41,0.19,0.12,0.22,63.35,0.11
MO_EoF,MO1171601,Ct,Bl,10/10/2019,10/10/2019,0.801,0.363,1.281,0.02,0.22,0.05,12.07,0.03
MO_EoF,MO1171601,Ct,Bl,10/21/2019,10/21/2019,0.167,0.02,0.517,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,11/29/2019,11/30/2019,0.784,0.228,0.946,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,12/28/2019,12/29/2019,0.983,0.625,1.342,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,1/10/2020,1/11/2020,1.094,0.616,1.629,0.11,0.22,0.07,33.99,0.05
MO_EoF,MO1171601,Ct,Bl,2/2/2020,2/3/2020,0.545,0.224,0.014,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,3/9/2020,3/10/2020,0.506,0.376,1.559,0.16,0.12,0.04,8.5,0.03
MO_EoF,MO1171601,Ct,Bl,3/14/2020,3/15/2020,0.165,0.157,1.567,0.05,0.09,0.01,1.45,0.01
MO_EoF,MO1171601,Ct,Bl,3/18/2020,3/18/2020,1.157,0.437,0.694,0.02,0.24,0.04,15.31,0.01
MO_EoF,MO1171601,Ct,Bl,3/19/2020,3/19/2020,1.157,0.94,0.99,0.02,0.46,0.1,29.33,0.04
MO_EoF,MO1171601,Ct,Bl,4/17/2020,4/17/2020,0.321,0.107,1.112,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,4/25/2020,4/25/2020,0.191,0.076,0.929,0,0,0,0,0
MO_EoF,MO1171601,Ct,Bl,5/14/2020,5/15/2020,1.44,1.885,2.291,0.04,0.97,0.43,126.06,0.28
MO_EoF,MO1171601,Ct,Bl,5/25/2020,5/25/2020,0.757,0.15,0.786,0.01,0.37,0.12,93.59,0.03
MO_EoF,MO1171601,Ct,Bl,5/26/2020,5/26/2020,0.098,0.035,0.227,0,0.09,0.03,22.13,0.01
MO_EoF,MO1171601,Ct,Bl,5/28/2020,5/29/2020,1.523,2.431,2.708,0.05,1.09,0.62,90.59,0.35
